title_en,title_am,similarity_score,alternative_position,reason
Executive issue,,0,Executive Assistant,"Executive issue likely refers to handling executive matters, similar to an executive assistant role."
CBE Birr Operator,,0,Mobile Money Agent,"CBE Birr Operator manages mobile money transactions, equivalent to a mobile money agent."
A creator of children's fairy tales and able to write fairy tales,,0,Children's Book Author,Creating children's fairy tales aligns with being a children's book author.
teacher who can recite the Qur'an,,0,Quran Teacher,Reciting the Quran is a key duty of a Quran teacher.
"A maker of desserts, mainly baklava, halawa and mushebek",,0,Pastry Chef,Making desserts like baklava and halawa is typical for a pastry chef.
nails and eyelashes  professions,,0,Nail and Eyelash Technician,Professions involving nails and eyelashes are done by nail and eyelash technicians.
A receptionist who packs goods and drives a car,,0,Administrative Assistant,"Combining receptionist, packing, and driving duties fits an administrative assistant role."
"A volunteer who can make audio recordings in Aramaic, Tigrinya and English",,0,Voiceover Artist,Making audio recordings in multiple languages is the work of a voiceover artist.
Able to produce vases and other accessories made of cement,,0,Cement Artisan,Producing vases and accessories from cement is done by a cement artisan.
Able to teach and recite the Qur'an,,0,Quran Teacher,Teaching and reciting the Quran is the role of a Quran teacher.
Acting and editing a YouTube show for a new film and theater group,,0,Video Editor,"The role involves editing a YouTube show, which aligns with video editing tasks."
narrator,,0,Voice Actor,Narrator is a type of voice actor providing spoken commentary.
Aluminum expert,,0,Aluminum Fabricator,Expert in aluminum work typically involves fabrication or welding.
Amharic text writer and photoshop designer,,0,Content Writer,"Combines Amharic text writing with design, fitting content creation."
"An expert who can make shapes with paper, fabric and different raw materials",,0,Craft Artist,"Making shapes from paper, fabric, and raw materials is craft artistry."
Answering phone calls for ride and delivery work,,0,Call Center Agent,Answering phone calls for ride and delivery services is a call center role.
Arabic speaking writer,,0,Content Writer,Arabic speaking writer focuses on written content in Arabic.
Artificial grass,,0,Landscaper,Artificial grass installation is a landscaping task.
Assistant juicer,,0,Kitchen Assistant,Assistant juicer is a kitchen helper role in food preparation.
Assistant Professor of Nail and Eyelash,,0,Beauty Technician,Teaching nail and eyelash techniques is a beauty education role.
Asuzu van sales staff,,0,,
Audio recording of Tigrinya language,,0,,
Auxiliary fiber producer,,0,,
Bachelor's degree in history and related fields,,0,,
Bazaar sales employee,,0,,
beginner in the Yage and General Assistant,,0,,
Beginner patcher,,0,,
Beginner vocal and keyboard coach,,0,,
Betting house ticket counter,,0,,
Bicycle rental,,0,,
Breakfast host,,0,,
Brochures and stickers for posters,,0,,
Budding comedy talent,,0,,
Camcorder TV (Fulm),,0,,
Can make Chinese 🇨🇳 food,,0,,
Car body worker,,0,,
