title_en,title_am,similarity_score,alternative_position,reason
Executive issue,,0,Executive Assistant,"Executive issue likely refers to handling executive matters, similar to an executive assistant role."
CBE Birr Operator,,0,Payment Systems Operator,CBE Birr is a mobile payment system in Ethiopia; operator manages transactions.
A creator of children's fairy tales and able to write fairy tales,,0,Children's Book Author,Creating fairy tales for children aligns with authoring children's books.
teacher who can recite the Qur'an,,0,Quran Teacher,Reciting and teaching the Quran is the role of a Quran teacher.
"A maker of desserts, mainly baklava, halawa and mushebek",,0,Pastry Chef,Making desserts like baklava and halawa is typical for a pastry chef.
nails and eyelashes  professions,,0,Nail and Eyelash Technician,Professions involving nails and eyelashes are beauty technician roles.
A receptionist who packs goods and drives a car,,0,Receptionist and Driver,Combines receptionist duties with packing goods and driving.
"A volunteer who can make audio recordings in Aramaic, Tigrinya and English",,0,Audio Transcriber,Making audio recordings in multiple languages is transcription work.
Able to produce vases and other accessories made of cement,,0,Cement Artisan,Producing vases and accessories from cement is artisan work.
Able to teach and recite the Qur'an,,0,Quran Teacher,Teaching and reciting the Quran is the role of a Quran teacher.
Acting and editing a YouTube show for a new film and theater group,,0,Video Editor,"Involves editing a YouTube show, which is core to video editing."
narrator,,0,Voice Actor,"Narrator is a type of voice actor, common in Ethiopian media."
Aluminum expert,,0,Metal Fabricator,"Aluminum expert works with metal fabrication, relevant in Ethiopian construction."
Amharic text writer and photoshop designer,,0,Content Writer,"Combines Amharic writing and Photoshop design, typical for content creation."
"An expert who can make shapes with paper, fabric and different raw materials",,0,Craft Artist,"Making shapes from paper, fabric, and raw materials is craft artistry."
Answering phone calls for ride and delivery work,,0,Call Center Agent,Answering phone calls for ride and delivery is a call center role.
Arabic speaking writer,,0,Content Writer,Arabic speaking writer is a content writer specializing in Arabic.
Artificial grass,,0,Landscaper,Artificial grass installation is a landscaping task in Ethiopia.
Assistant juicer,,0,Kitchen Assistant,Assistant juicer is a kitchen helper role in food service.
Assistant Professor of Nail and Eyelash,,0,Beauty Technician,Assistant Professor of Nail and Eyelash is a beauty education role.
Asuzu van sales staff,,0,Van Sales Representative,Asuzu van sales staff is a common Ethiopian term for a salesperson who sells products from a van.
Audio recording of Tigrinya language,,0,Audio Transcriber,"Audio recording of Tigrinya language involves transcribing or recording spoken language, similar to an audio transcriber role."
Auxiliary fiber producer,,0,Fiber Production Operator,Auxiliary fiber producer is a role in manufacturing that assists in producing fiber materials.
Bachelor's degree in history and related fields,,0,History Teacher,A bachelor's degree in history typically leads to teaching or research roles in history.
Bazaar sales employee,,0,Sales Clerk,Bazaar sales employee is a general sales role in a market or bazaar setting.
beginner in the Yage and General Assistant,,0,General Assistant,"Beginner in the Yage and General Assistant suggests an entry-level assistant role, likely in a shop or office."
Beginner patcher,,0,Patcher,Beginner patcher is an entry-level role in garment or textile repair.
Beginner vocal and keyboard coach,,0,Music Coach,Beginner vocal and keyboard coach is an entry-level music instructor for voice and keyboard.
Betting house ticket counter,,0,Cashier,Betting house ticket counter is a cashier role that processes bets and payments.
Bicycle rental,,0,Bicycle Rental Attendant,Bicycle rental involves managing rental transactions and maintaining bicycles.
Breakfast host,,0,Front Desk Receptionist,"A breakfast host in Ethiopian hotels typically greets and assists guests, similar to a front desk receptionist."
Brochures and stickers for posters,,0,Graphic Designer,Creating brochures and stickers for posters is a core task of a graphic designer.
Budding comedy talent,,0,Comedian,Budding comedy talent refers to an aspiring comedian.
Camcorder TV (Fulm),,0,Videographer,Operating a camcorder for TV or film production is the role of a videographer.
Can make Chinese 🇨🇳 food,,0,Cook,"Making Chinese food is a cooking role, commonly referred to as a cook in Ethiopia."
Car body worker,,0,Auto Body Technician,"Car body work involves repairing vehicle exteriors, which is the job of an auto body technician."
Car seat clothes wide,,0,Upholsterer,Working with car seat clothes (upholstery) is the task of an upholsterer.
Chips and egg sandwiches,,0,Food Preparer,Making chips and egg sandwiches is a food preparation role.
Cinema host,,0,Usher,"A cinema host greets and guides patrons, similar to an usher in Ethiopian theaters."
Civics teacher,,0,Teacher,"Civics teacher is a specific teaching role, mapped to the general position of teacher."
Commission work,,0,Commission Agent,Common Ethiopian term for commission-based sales work.
Computer and mobile home sales,,0,Sales Representative,Standard title for selling electronics like computers and mobile phones.
Control and deployment of vehicles and machines,,0,Fleet Manager,Responsible for controlling and deploying vehicles and machines.
Copy house worker,,0,Print Shop Worker,Copy house is a common term for a print/copy shop in Ethiopia.
Cover wide specialist,,0,Cover Specialist,"Likely refers to a specialist in covering items (e.g., furniture, vehicles)."
Data collector,,0,Data Collector,Directly matches the input title.
Decorator,,0,Decorator,Directly matches the input title.
Directing and essay writing teacher,,0,Writing Teacher,"Focus on teaching essay writing and directing, common in Ethiopian schools."
"Dishwasher, Driller, Plumbing & Maintenance, Electrical Installation & Maintenance, Painter",,0,Maintenance Technician,"Covers multiple trades like plumbing, electrical, painting, and drilling."
Envoy in regional cities,,0,Regional Liaison Officer,An envoy in regional cities typically handles coordination and communication.
Epoxy specialist,,0,Flooring Specialist,Epoxy specialist is a type of flooring specialist in the Ethiopian context.
Event coordination,,0,Event Coordinator,Event coordination is the core function of an event coordinator.
Fast Amharic writer,,0,Content Writer,Fast Amharic writer is a content writer specializing in Amharic.
copy house worker,,0,Print Shop Worker,Copy house worker is a common term for a print shop worker in Ethiopia.
DJ,,0,Entertainment Specialist,"DJ is a role in entertainment, often listed as entertainment specialist."
nail and lash specialist,,0,Nail Technician,Nail and lash specialist is a nail technician with additional lash services.
narrator,,0,Voice Over Artist,Narrator is a voice over artist in media production.
